lon,lat,value,qc_reason,y_pred_oof,residual_oof
120.93,22.75,26.3,,25.846511761264495,0.45348823873550614
120.96,22.75,26.5,,25.84807246653947,0.6519275334605297
120.99,22.75,26.5,,25.60617435751507,0.8938256424849307
121.02,22.75,25.6,,25.213355158813535,0.3866448411864667
120.12,22.78,24.8,,25.06488752575013,-0.2648875257501295
120.15,22.78,25.2,,25.030706737814747,0.16929326218525276
120.18,22.78,25.3,,24.93582656230073,0.3641734376992716
120.21,22.78,25.2,,24.975404726657665,0.22459527334233442
120.24,22.78,25.2,,24.908131658975375,0.29186834102462456
120.27,22.78,24.9,,24.91613575592671,-0.01613575592671168
120.3,22.78,24.7,,24.918614887040444,-0.21861488704044518
120.33,22.78,24.9,,24.922240288108757,-0.02224028810875822
120.36,22.78,24.6,,24.92779502505892,-0.32779502505891855
120.39,22.78,25.2,,24.936797516129744,0.2632024838702556
120.42,22.78,25.2,,24.523479521055243,0.6765204789447559
120.45,22.78,25.3,,24.58028440542497,0.7197155945750318
120.48,22.78,25.2,,25.16405329552657,0.03594670447342807
120.51,22.78,25.3,,25.156102564218017,0.14389743578198377
120.54,22.78,20.7,,25.148587586808816,-4.4485875868088165
120.57,22.78,21.9,,25.147994001046822,-3.2479940010468233
120.6,22.78,18.8,,19.056631974630132,-0.25663197463013177
120.63,22.78,17.4,,12.037544388846856,5.362455611153143
120.66,22.78,13.3,,12.01576736624749,1.2842326337525112
120.69,22.78,19.8,,12.254849976263303,7.5451500237366975
120.72,22.78,17.1,,12.27995525530041,4.820044744699592
120.75,22.78,14.8,,16.19413479276295,-1.394134792762948
120.78,22.78,6.9,,16.001970319791738,-9.101970319791738
120.81,22.78,13.0,,15.249562100082219,-2.249562100082219
120.84,22.78,13.3,,18.784557910110475,-5.484557910110475
120.87,22.78,17.9,,22.651601234900376,-4.751601234900377
120.9,22.78,23.8,,25.755239296891865,-1.9552392968918646
120.93,22.78,25.0,,25.76257320190823,-0.7625732019082285
120.96,22.78,26.3,,25.79681804915527,0.5031819508447306
120.99,22.78,26.6,,24.661356825759565,1.9386431742404362
121.02,22.78,26.5,,24.8097109851237,1.6902890148762992
121.05,22.78,26.5,,25.10427530687784,1.3957246931221583
120.12,22.81,25.2,,25.064863504168137,0.13513649583186194
120.15,22.81,25.2,,24.986323920700162,0.21367607929983734
120.18,22.81,24.8,,24.94516353579324,-0.14516353579324104
120.21,22.81,25.2,,24.83534755478186,0.364652445218141
120.24,22.81,25.2,,24.879445837924916,0.3205541620750836
120.27,22.81,24.9,,24.86247511046259,0.03752488953740851
120.3,22.81,24.2,,24.863740200210596,-0.6637402002105972
120.33,22.81,24.5,,24.865762948069438,-0.3657629480694382
120.36,22.81,25.1,,24.852424817117658,0.24757518288234337
120.39,22.81,25.2,,24.87532374790972,0.32467625209027773
120.42,22.81,25.1,,24.367258367629134,0.7327416323708675
120.45,22.81,25.1,,24.429110256693452,0.6708897433065495
120.48,22.81,25.0,,25.104756184347497,-0.10475618434749734
120.51,22.81,25.0,,25.105089789505936,-0.10508978950593573
120.54,22.81,21.1,,25.089401666941946,-3.9894016669419443
120.57,22.81,22.4,,25.077146275950618,-2.6771462759506193
120.6,22.81,16.5,,18.62453130759168,-2.124531307591681
120.63,22.81,9.9,,11.53453760859304,-1.634537608593039
120.66,22.81,13.4,,11.607985371795401,1.7920146282045994
120.69,22.81,14.3,,12.008603985637809,2.291396014362192
120.72,22.81,15.8,,11.908115825138632,3.891884174861369
120.75,22.81,8.9,,14.441148026396231,-5.541148026396231
